Name,Category,Location,Website URL,Current Image URL,Image Status
"Monk's Cafe",retailer,"Philadelphia, PA",https://monkscafe.com,https://images.unsplash.com/photo-1514933651103-005eec06c04b?w=800,Unsplash
"Tired Hands Brewing Company",retailer,"Ardmore, PA",https://tiredhands.com,https://images.unsplash.com/photo-1559526642-c3f001ea68ee?w=800,Unsplash
"Total Wine & More - Richmond",retailer,"Richmond, VA",https://totalwine.com,https://images.unsplash.com/photo-1578911373434-0cb395d2cbfb?w=800,Unsplash
"The Veil Brewing Co.",retailer,"Richmond, VA",https://theveilbrewing.com,https://images.unsplash.com/photo-1559526642-c3f001ea68ee?w=800,Unsplash
"Weinhaus",retailer,"Asheville, NC",https://weinhaus.com,Missing,Missing
"Local 604 Bottle Shop - West",retailer,"Asheville, NC",https://local604avl.com,Missing,Missing
"The Whale - A Craft Beer Collective",retailer,"Asheville, NC",https://thewhalecollective.com/,Missing,Missing
"Appalachian Vintner",retailer,"Asheville, NC",http://www.appalachianvintner.com/,Missing,Missing
"Cold Hollow Cider Mill",retailer,"Waterbury, VT",https://coldhollow.com,Missing,Missing
"Stowe Public House",retailer,"Stowe, VT",https://www.stowepublichouse.com/,Missing,Missing
"Bert's Better Beers",retailer,"Hooksett, NH",https://bertsbetterbeers.com,https://bertsbetterbeers.com/wp-content/uploads/2023/03/berts-storefront.jpg,Real
"Yankee Spirits",retailer,"Attleboro, MA",https://yankeespirits.com,Missing,Missing
"Stop & Shop - Boston",retailer,"Boston, MA",https://stopandshop.com,Missing,Missing
"Gordon's Fine Wines & Liquors",retailer,"Waltham, MA",https://gordonswine.com,Missing,Missing
"Craft Beer Shop - New Haven",retailer,"New Haven, CT",https://www.google.com/search?q=Craft+Beer+Shop+New+Haven+CT,Missing,Missing
"Half Time Beverage",retailer,"Mamaroneck, NY",https://halftimebeverage.com,Missing,Missing
"Whole Foods Market - Brooklyn",retailer,"Brooklyn, NY",https://wholefoodsmarket.com,Missing,Missing
"Wegmans - Rochester",retailer,"Rochester, NY",https://wegmans.com,Missing,Missing
"Wegmans - Princeton",retailer,"Princeton, NJ",https://wegmans.com,Missing,Missing
"Jersey City Super Buy Rite",retailer,"575 Manila Ave, Jersey City, NJ",https://buyritewines.com/,Missing,Missing
"ACME Markets - Wayne",retailer,"Wayne, PA",https://acmemarkets.com,Missing,Missing
"Wegmans - King of Prussia",retailer,"King of Prussia, PA",https://wegmans.com,Missing,Missing
"Total Wine & More - Leesburg",retailer,"1610 Village Market Blvd, Leesburg, VA",https://www.totalwine.com/store-info/virginia-leesburg/218,Missing,Missing
"Whole Foods Market - Fairfax",retailer,"Fairfax, VA",https://wholefoodsmarket.com,Missing,Missing
"Beer Run - Charlottesville",retailer,"Charlottesville, VA",https://beerrun.com,Missing,Missing
"The Staunton Grocery",retailer,"103 S Coalter St, Staunton, VA",https://thestauntongrocery.shopsettings.com/,Missing,Missing
"Tasty Beverage Co.",retailer,"Raleigh, NC",https://tastybeverageco.com,Missing,Missing
"Good Bottle Co.",retailer,"Charlotte, NC",https://goodbottleco.com,Missing,Missing
"Wedge Brewing - Grove Arcade",retailer,"1 Page Ave, Suite 152, Asheville, NC",https://wedgebrewing.com/locations/grove-arcade/,Missing,Missing
"Nikki's Liquors",retailer,"Providence, RI",https://nikkisliquors.com,Missing,Missing
"RSVP Discount Beverage",retailer,"Portland, ME",https://rsvpdiscountbeverage.com,Missing,Missing
"Camel's Hump via Long Trail",trail,"Duxbury, VT",https://www.alltrails.com/trail/us/vermont/camels-hump-via-long-trail-and-burrows-trail,Missing,Missing
"Stratton Mountain",trail,"Stratton, VT",https://www.alltrails.com/trail/us/vermont/stratton-mountain-and-stratton-pond-via-long-trail,Missing,Missing
"Mount Mansfield - Long Trail",trail,"Stowe, VT",https://www.alltrails.com/trail/us/vermont/mount-mansfield-via-sunset-ridge-and-long-trail,Missing,Missing
"Franconia Ridge Loop",trail,"Franconia, NH",https://www.alltrails.com/trail/us/new-hampshire/franconia-ridge-trail-loop,Missing,Missing
"Mount Washington via Tuckerman Ravine",trail,"Pinkham Notch, NH",https://www.alltrails.com/trail/us/new-hampshire/mount-washington-via-tuckerman-ravine-trail,Missing,Missing
"Mount Greylock - Appalachian Trail",trail,"Adams, MA",https://www.alltrails.com/trail/us/massachusetts/mount-greylock-via-hopper-trail,Missing,Missing
"Taconic Highlands - Mount Everett",trail,"Mount Washington, MA",https://www.alltrails.com/trail/us/massachusetts/mount-everett-via-appalachian-trail,Missing,Missing
"Hawk Mountain Sanctuary",trail,"Kempton, PA",https://www.hawkmountain.org/visit/plan-your-visit,Missing,Missing
"The Pinnacle",trail,"Hamburg, PA",https://www.alltrails.com/trail/us/pennsylvania/pinnacle-and-pulpit-rock-loop-via-appalachian-trail,Missing,Missing
"McAfee Knob",trail,"Salem, VA",https://www.alltrails.com/trail/us/virginia/mcafee-knob-via-appalachian-trail,Missing,Missing
"Three Ridges Wilderness",trail,"Waynesboro, VA",https://www.alltrails.com/trail/us/virginia/three-ridges-via-appalachian-trail,Missing,Missing
"Old Rag Mountain",trail,"Shenandoah NP, VA",https://www.alltrails.com/trail/us/virginia/old-rag-mountain-loop-trail,Missing,Missing
"Max Patch",trail,"Hot Springs, NC",https://www.alltrails.com/trail/us/north-carolina/max-patch-loop-trail,Missing,Missing
"Roan Highlands - Carvers Gap",trail,"Roan Mountain, NC/TN",https://www.alltrails.com/trail/us/north-carolina/grassy-ridge-bald-via-appalachian-trail,Missing,Missing
"Craggy Gardens",trail,"Blue Ridge Parkway, NC",https://www.alltrails.com/trail/us/north-carolina/craggy-gardens-trail,Missing,Missing
"Looking Glass Rock",trail,"Pisgah NF, NC",https://www.alltrails.com/trail/us/north-carolina/looking-glass-rock-trail,Missing,Missing
"Mad River - Waitsfield Access",river,"Waitsfield, VT",https://www.clearwatervt.com/trips,Missing,Missing
"White River - Chelsea Park",river,"Sharon, VT",https://www.vermontpaddlers.club/white-river,Missing,Missing
"Connecticut River - Wilgus State Park",river,"Ascutney, VT",https://www.connecticutriverpaddlerstrail.org,Missing,Missing
"Connecticut River - Hanover",river,"Hanover, NH",https://www.ledyardcanoeclub.org,Missing,Missing
"James River - Buchanan",river,"Buchanan, VA",https://www.upperjamesriverwatertrail.com,Missing,Missing
"Roanoke River Blueway - Wasena Park",river,"Roanoke, VA",https://www.roanokecountyparks.com/283/Roanoke-River-Blueway,Missing,Missing
"New River - McCoy Access",river,"Giles County, VA",https://www.newriverwatertrail.com,Missing,Missing
"French Broad River - Asheville",river,"Asheville, NC",https://www.ashevilleoutdoorcenter.com,Missing,Missing
"French Broad River - Headwaters",river,"Rosman, NC",https://www.headwatersoutfitters.com,Missing,Missing
"Yadkin River - Surry County",river,"Elkin, NC",https://www.yadkinriverbluetrail.com,Missing,Missing
"Vermont Foodbank",community,"Barre, VT",https://vtfoodbank.org,https://www.vtfoodbank.org/wp-content/uploads/2024/12/20221028_hpSlider.jpg,Real
"Upper Valley Haven",community,"White River Junction, VT",https://uppervalleyhaven.org,Missing,Missing
"Committee on Temporary Shelter (COTS)",community,"Burlington, VT",https://cotsonline.org,Missing,Missing
"Green Mountain Farm-to-School",community,"Newport, VT",https://greenmountainfarmtoschool.org,Missing,Missing
"Friends of the Winooski River",community,"Montpelier, VT",https://winooskiriver.org,Missing,Missing
"Vermont Community Foundation",community,"Middlebury, VT",https://vermontcf.org,Missing,Missing
"Northeast Kingdom Community Action (NEKCA)",community,"St. Johnsbury, VT",https://nekcavt.org,Missing,Missing
"NH Food Alliance",community,"Concord, NH",https://nhfoodalliance.org,Missing,Missing
"Cultivating Community",community,"Portland, ME",https://cultivatingcommunity.org,Missing,Missing
"Spoonfuls (Lovin' Spoonfuls)",community,"Newton, MA",https://spoonfuls.org,Missing,Missing
"Rhode Island Community Food Bank",community,"Providence, RI",https://rifoodbank.org,Missing,Missing
"Alzheimer's Association - CT Chapter",community,"New Haven, CT",https://alz.org/ct,Missing,Missing
"City Harvest",community,"New York, NY",https://cityharvest.org,Missing,Missing
"United Way of Greater Rochester",community,"Rochester, NY",https://unitedwayrocflx.org,Missing,Missing
"Community FoodBank of New Jersey",community,"Hillside, NJ",https://cfbnj.org,Missing,Missing
"Philabundance",community,"Philadelphia, PA",https://philabundance.org,Missing,Missing
"James River Association",community,"Richmond, VA",https://thejamesriver.org,Missing,Missing
"Blue Ridge Parkway Foundation",community,"Asheville, NC",https://brpfoundation.org,Missing,Missing
"French Broad Riverkeeper (MountainTrue)",community,"Asheville, NC",https://mountaintrue.org,Missing,Missing
"MANNA FoodBank",community,"Asheville, NC",https://mannafoodbank.org,Missing,Missing
"Tesla Supercharger - Asheville",charger,"264 Thetford St, Asheville, NC",https://www.tesla.com/findus,Missing,Missing
"Tesla Supercharger - Mt Airy",charger,"2905 Rockford St, Mt Airy, NC",https://www.tesla.com/findus,Missing,Missing
"Electrify America - Boone",charger,"1180 Blowing Rock Rd, Boone, NC",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"Electrify America - Staunton",charger,"255 Lucy Ln, Staunton, VA",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"Tesla Supercharger - Waynesboro",charger,"109 Lucy Ln, Waynesboro, VA",https://www.tesla.com/findus,Missing,Missing
"Tesla Supercharger - Charlottesville",charger,"1954 Rio Hill Center, Charlottesville, VA",https://www.tesla.com/findus,Missing,Missing
"Electrify America - Springfield",charger,"1655 Boston Rd, Springfield, MA",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"Electrify America - Hooksett",charger,"1328 Hooksett Rd, Hooksett, NH",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"ChargePoint DC Fast - Waitsfield",charger,"5134 Main St, Waitsfield, VT",https://www.chargepoint.com/en-us/drivers/find-charger,Missing,Missing
"ChargePoint DC Fast - Mad River Green",charger,"Village Square, Waitsfield, VT",https://www.chargepoint.com/en-us/drivers/find-charger,Missing,Missing
"Tesla Supercharger - Waterbury",charger,"1899 Waterbury-Stowe Rd, Waterbury, VT",https://www.tesla.com/findus,Missing,Missing
"Electrify America - White River Junction",charger,"270 N Hartland Rd, White River Junction, VT",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"NEVI Fast Charger - Bradford",charger,"172 Waits River Rd, Bradford, VT",https://www.driveelectricvt.com/,Missing,Missing
"Electrify America - Roanoke",charger,"4807 Valley View Blvd NW, Roanoke, VA",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"Tesla Supercharger - Lynchburg",charger,"3901 Wards Rd, Lynchburg, VA",https://www.tesla.com/findus,Missing,Missing
"Electrify America - Tysons Corner",charger,"8357 Leesburg Pike, Tysons, VA",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"Tesla Supercharger - Newark",charger,"450 Broad St, Newark, NJ",https://www.tesla.com/findus,Missing,Missing
"Electrify America - Edison",charger,"1931 Route 27, Edison, NJ",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
"Tesla Supercharger - Milford",charger,"1201 Boston Post Rd, Milford, CT",https://www.tesla.com/findus,Missing,Missing
"Electrify America - Hartford",charger,"495 Flatbush Ave, Hartford, CT",https://www.electrifyamerica.com/locate-charger/,Missing,Missing
